2025-08-16 15:48:08,418 - INFO - 🌟 每周数据更新程序启动
2025-08-16 15:49:56,100 - INFO - 🌟 每周数据更新程序启动
2025-08-16 15:49:56,100 - INFO - 🚀 开始每周数据更新...
2025-08-16 15:49:56,100 - INFO - ============================================================
2025-08-16 15:49:56,110 - INFO - ✅ 成功连接到MySQL数据库
2025-08-16 15:49:56,110 - INFO - 清空基金基本信息...
2025-08-16 15:49:56,188 - INFO - 🚀 开始获取ADATA所有基金基本信息...
2025-08-16 15:50:03,010 - INFO - 📊 获取到 24781 只基金信息
2025-08-16 15:50:03,035 - ERROR - ✗ 插入基金基本信息失败: 'stock_code'
2025-08-16 15:50:03,037 - INFO - ============================================================
2025-08-16 15:50:03,037 - INFO - 📊 本周数据更新统计
2025-08-16 15:50:03,037 - INFO - ============================================================
2025-08-16 15:50:03,037 - INFO - ⏱️  更新耗时: 0:00:06.937023
2025-08-16 15:50:03,038 - INFO - ✅ 无错误
2025-08-16 15:50:03,038 - INFO - ============================================================
2025-08-16 15:50:03,038 - INFO - 🎉 本周数据更新完成！
2025-08-16 15:50:03,038 - INFO - 数据库连接已关闭
2025-08-16 15:50:03,039 - INFO - ✅ 每周数据更新成功完成
2025-08-16 15:50:48,059 - INFO - 🌟 每周数据更新程序启动
2025-08-16 15:50:48,059 - INFO - 🚀 开始每周数据更新...
2025-08-16 15:50:48,060 - INFO - ============================================================
2025-08-16 15:50:48,060 - INFO - ✅ 成功连接到MySQL数据库
2025-08-16 15:50:48,060 - INFO - 清空基金基本信息...
2025-08-16 15:50:48,177 - INFO - 🚀 开始获取ADATA所有基金基本信息...
2025-08-16 15:50:55,108 - INFO - 📊 获取到 24781 只基金信息
2025-08-16 15:50:55,427 - WARNING - 处理基金 000338 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,430 - WARNING - 处理基金 000339 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,431 - WARNING - 处理基金 000341 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,437 - WARNING - 处理基金 000342 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,440 - WARNING - 处理基金 000343 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,441 - WARNING - 处理基金 000345 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,445 - WARNING - 处理基金 000346 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,448 - WARNING - 处理基金 000347 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,449 - WARNING - 处理基金 000351 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,454 - WARNING - 处理基金 000352 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,457 - WARNING - 处理基金 000354 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,459 - WARNING - 处理基金 000355 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,462 - WARNING - 处理基金 000356 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,466 - WARNING - 处理基金 000359 失败: (1406, "Data too long for column 'fund_type' at row 1")
2025-08-16 15:50:55,468 - WARNING - 处理基金 000362 失败: (1406, "Data too long for column 'fund_type' at row 1")
