2025-08-02 07:01:07,061 - INFO - 🌟 每日数据更新程序启动
2025-08-02 07:01:07,067 - INFO - 🚀 开始每日数据更新...
2025-08-02 07:01:07,067 - INFO - ============================================================
2025-08-02 07:01:07,088 - INFO - ✅ 成功连接到MySQL数据库
2025-08-02 07:01:07,088 - INFO - 清空同花顺的概念代码信息...
2025-08-02 07:01:07,093 - INFO - 🚀 开始获取ADATA所有同花顺的概念代码信息...
2025-08-02 07:01:07,992 - INFO - 📊 获取到 399 只概念代码信息
2025-08-02 07:01:08,188 - WARNING - 处理只概念代码信息代糖概念 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,191 - WARNING - 处理只概念代码信息环氧丙烷 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,194 - WARNING - 处理只概念代码信息汽车拆解概念 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,197 - WARNING - 处理只概念代码信息可降解塑料 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,199 - WARNING - 处理只概念代码信息NMN概念 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,203 - WARNING - 处理只概念代码信息新型烟草(电子烟) 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,206 - WARNING - 处理只概念代码信息免税店 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,210 - WARNING - 处理只概念代码信息中芯国际概念 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,213 - WARNING - 处理只概念代码信息海南自贸区 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,215 - WARNING - 处理只概念代码信息国家大基金持股 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,218 - WARNING - 处理只概念代码信息抖音概念(字节概念) 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,221 - WARNING - 处理只概念代码信息C2M概念 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,224 - WARNING - 处理只概念代码信息数据中心 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,227 - WARNING - 处理只概念代码信息超级电容 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
2025-08-02 07:01:08,230 - WARNING - 处理只概念代码信息航空发动机 失败: (1062, "Duplicate entry 'nan-同花顺' for key 'ths_concept_info.uk_concept_source'")
