stock_code,trade_date,close,pre_close,prev_close,change_pct,change_amount,adj_factor,prev_f,prev_date,data_source,domain,same_factor,eq_violated,judgement,dev
920592,2021-02-22,15.080,,7.380,104.3400,7.700,,,2021-02-10,AKSHARE,seg_4_8_92,False,False,possible_legal,
920592,2021-02-23,7.380,,15.080,-51.0600,-7.700,,,2021-02-22,AKSHARE,seg_4_8_92,False,False,possible_legal,
920592,2021-06-28,8.540,,5.310,60.8300,3.230,,,2021-06-25,AKSHARE,seg_4_8_92,False,False,possible_legal,
920592,2021-11-12,8.920,,6.620,34.7400,2.300,,,2021-11-11,AKSHARE,seg_4_8_92,False,False,possible_legal,
920593,2022-02-21,14.510,,6.790,113.7000,7.720,,,2022-02-18,AKSHARE,seg_4_8_92,False,False,possible_legal,
920593,2022-02-22,9.020,,14.510,-37.8400,-5.490,,,2022-02-21,AKSHARE,seg_4_8_92,False,False,possible_legal,
920593,2022-02-25,11.360,,8.560,32.7100,2.800,,,2022-02-24,AKSHARE,seg_4_8_92,False,False,possible_legal,
920593,2022-07-01,27.580,,13.440,105.2100,14.140,,,2022-06-28,AKSHARE,seg_4_8_92,False,False,possible_legal,
920593,2022-07-13,44.670,,31.860,40.2100,12.810,,,2022-07-08,AKSHARE,seg_4_8_92,False,False,possible_legal,
920599,2017-11-06,0.800,1.850,1.850,-56.7568,-1.050,1.00000000,1.00000000,2017-09-15,SINA,seg_4_8_92,True,False,possible_legal,0.0
920599,2017-11-13,0.450,0.800,0.800,-43.7500,-0.350,1.00000000,1.00000000,2017-11-06,SINA,seg_4_8_92,True,False,possible_legal,0.0
920599,2018-02-05,0.620,0.400,0.400,55.0000,0.220,1.00000000,1.00000000,2017-12-29,SINA,seg_4_8_92,True,False,possible_legal,0.0
920599,2018-05-22,1.010,0.660,0.660,53.0303,0.350,1.00000000,1.00000000,2018-02-06,SINA,seg_4_8_92,True,False,possible_legal,0.0
920599,2018-06-27,2.000,1.010,1.010,98.0198,0.990,1.00000000,1.00000000,2018-05-22,SINA,seg_4_8_92,True,False,possible_legal,0.0
920599,2018-07-25,1.000,2.000,2.000,-50.0000,-1.000,1.00000000,1.00000000,2018-06-27,SINA,seg_4_8_92,True,False,possible_legal,0.0
920599,2018-07-27,0.510,1.000,1.000,-49.0000,-0.490,1.00000000,1.00000000,2018-07-25,SINA,seg_4_8_92,True,False,possible_legal,0.0
920599,2018-08-02,1.020,0.510,0.510,100.0000,0.510,1.00000000,1.00000000,2018-07-27,SINA,seg_4_8_92,True,False,possible_legal,0.0
920599,2018-08-03,2.040,1.020,1.020,100.0000,1.020,1.00000000,1.00000000,2018-08-02,SINA,seg_4_8_92,True,False,possible_legal,0.0
920599,2018-08-09,1.990,1.500,1.500,32.6667,0.490,1.00000000,1.00000000,2018-08-08,SINA,seg_4_8_92,True,False,possible_legal,0.0
920599,2018-08-15,1.350,2.010,2.010,-32.8358,-0.660,1.00000000,1.00000000,2018-08-10,SINA,seg_4_8_92,True,False,possible_legal,0.0
920599,2018-08-16,2.000,1.350,1.350,48.1481,0.650,1.00000000,1.00000000,2018-08-15,SINA,seg_4_8_92,True,False,possible_legal,0.0
